contrast,correlation,energy,entropy,homogeneity,output
0.693290441,0.928207169,0.081684866,7.748411218,0.817013889,0
0.385615809,0.898882888,0.123060533,7.480627272,0.862854116,0
0.388756127,0.896984218,0.124596714,7.487461375,0.862425194,0
0.298023897,0.938034062,0.126731348,7.584382221,0.893117851,0
0.374862132,0.934396644,0.109412532,7.635396709,0.875991371,0
1.128492647,0.851382859,0.048173339,7.843501726,0.72835529,0
0.371308211,0.949360696,0.086549431,7.61938394,0.850611469,0
0.30424326,0.903955867,0.146257834,7.221593614,0.859801368,0
0.909329044,0.848057259,0.054705164,7.856238229,0.74001251,0
0.313434436,0.926019291,0.111314971,7.823824366,0.870762868,0
0.673866422,0.87468586,0.065152799,7.82990527,0.769213388,0
0.472089461,0.916501102,0.082289859,7.886460666,0.827361877,0
0.77901348,0.909769527,0.06714495,7.745912996,0.797140195,0
0.805039828,0.912593979,0.06329279,7.774795483,0.792791309,0
0.359375,0.91469757,0.111148231,7.750623359,0.852018995,0
0.631847426,0.872869379,0.073153339,7.718372163,0.778501072,0
0.312668505,0.930287405,0.124214178,7.825341744,0.883034875,0
0.364185049,0.927990939,0.106418107,7.817680138,0.861538756,0
0.240441176,0.929645618,0.154176452,7.261991792,0.88612643,0
0.344837623,0.952397842,0.091352135,7.560553456,0.864471763,0
0.323268995,0.955215554,0.095000743,7.547766679,0.870414624,0
0.322242647,0.954684017,0.094922971,7.57275616,0.869849622,0
0.560585172,0.869063446,0.095089034,7.770350319,0.815168505,0
0.549448529,0.869607581,0.096816653,7.771869732,0.814624438,0
0.670925245,0.913202936,0.070353897,7.785289103,0.804128151,0
0.675842525,0.911888442,0.069825409,7.782628987,0.802652603,0
0.87041973,0.820553419,0.063187611,7.809358141,0.734044373,0
0.886320466,0.814356526,0.062603692,7.806098843,0.730130208,0
0.868872549,0.822927825,0.06229992,7.815358104,0.734637094,0
0.235891544,0.950031222,0.118670999,7.518085143,0.8896875,0
0.870113358,0.820313617,0.062389029,7.815805001,0.732916156,0
0.898008578,0.816607703,0.062287171,7.819529919,0.732289369,0
0.885248162,0.790110074,0.067367407,7.812235245,0.73488398,0
0.879473039,0.794308838,0.067624259,7.816415418,0.738095639,0
0.884114583,0.79236873,0.067643886,7.811472911,0.738479882,0
0.80479473,0.859601512,0.058112244,7.826187356,0.756144958,0
0.792953431,0.862429237,0.058218191,7.823921534,0.757296262,0
0.845848652,0.831796207,0.061745181,7.772847748,0.738950929,0
0.825291054,0.839955887,0.062161056,7.776656715,0.744053054,0
0.822901348,0.839701501,0.06217465,7.769705894,0.743460989,0
0.254718137,0.948704241,0.121968837,7.477377992,0.882128268,0
0.827129289,0.842804154,0.061364424,7.782206245,0.742802798,0
0.535171569,0.862268185,0.09681992,7.772073038,0.807425449,0
0.539629289,0.858230317,0.095387334,7.778485492,0.804929279,0
0.546737132,0.860442811,0.090128823,7.785242334,0.801627604,0
1.026210172,0.791011298,0.056987681,7.808269954,0.715403135,0
1.033792892,0.792090973,0.056419058,7.81695219,0.713835018,0
1.044102328,0.791156772,0.056129911,7.82425541,0.711892361,0
0.575352328,0.878540252,0.073724376,7.812979624,0.783109171,0
0.570435049,0.87886808,0.074063126,7.818176782,0.783970333,0
0.578507966,0.879814804,0.073356967,7.816524421,0.782620507,0
0.291007966,0.946953138,0.106363083,7.537563684,0.866794322,0
0.988664216,0.787947317,0.058294398,7.800081693,0.714590628,0
1.130928309,0.775116454,0.052098277,7.788867495,0.697551281,0
1.133011642,0.766734187,0.052976022,7.773017989,0.698001612,0
1.113786765,0.758676545,0.059024156,7.775330993,0.710044825,0
0.65870098,0.841964622,0.075254704,7.827818572,0.768884549,0
0.659206495,0.843921243,0.074135753,7.817236112,0.767039165,0
1.277113971,0.773237963,0.049792841,7.815786101,0.698336944,0
0.784972426,0.841005003,0.061657911,7.854210322,0.73590865,0
0.782061887,0.844553031,0.060084346,7.859582868,0.735210631,0
1.338556985,0.695470827,0.055018646,7.753543255,0.684275064,0
0.243949142,0.943006557,0.13841501,7.388772924,0.888320057,0
1.35591299,0.710526681,0.053993216,7.77226305,0.690326542,0
1.354748775,0.712819689,0.053372511,7.769711587,0.68953125,0
1.421170343,0.717965434,0.05228345,7.880586564,0.693191198,0
1.42901348,0.716564309,0.051723685,7.877607634,0.690236965,0
1.257261029,0.794919571,0.050984359,7.887496129,0.726938208,0
1.259880515,0.792242434,0.051299404,7.886812462,0.726732427,0
1.309742647,0.801209196,0.046736866,7.887669769,0.719773795,0
1.486979167,0.793567769,0.040962932,7.910267195,0.695589074,0
1.330269608,0.791949975,0.051688999,7.900271214,0.713983682,0
1.129289216,0.830273326,0.050165765,7.889035969,0.723913399,0
0.220741422,0.938165903,0.138647812,7.423417555,0.895326542,0
